,tag,station,stratum,latitude,longitude
1,River 2013,SMC01912,Urban,34.234296,-118.602959
2,River 2013,SMC01923,Urban,33.672216,-117.788723
3,River 2013,SMC01934,Urban,33.490002,-117.665955
4,River 2013,SMC01982,Urban,33.91694,-118.038364
5,River 2013,SMC01987,Urban,33.590288,-117.711855
6,River 2013,SMC01990,Urban,32.796538,-117.113274
7,River 2013,SMC02028,Urban,34.128683,-118.165539
8,River 2013,SMC02088,Open,34.302261,-118.259597
9,River 2013,SMC02092,Open,34.279482,-118.206846
10,River 2013,SMC02123,Urban,34.108137,-117.201677
11,River 2013,SMC02145,Agriculture,33.269344,-117.031468
12,River 2013,SMC02174,Urban,34.005119,-117.969223
13,River 2013,SMC02206,Urban,33.870989,-117.850027
14,River 2013,SMC02208,Urban,34.128351,-117.774842
15,River 2013,SMC02232,Urban,34.232415,-118.552402
16,River 2013,SMC02270,Urban,33.795739,-117.772416
17,River 2013,SMC02284,Urban,34.065423,-117.949399
18,River 2013,SMC02302,Urban,33.815305,-118.041286
19,River 2013,SMC02363,Open,34.558855,-119.154565
20,River 2013,SMC02417,Urban,33.133854,-117.062362
21,River 2013,SMC02464,Open,34.246354,-117.643214
22,River 2013,SMC02484,Urban,34.145104,-118.367645
23,River 2013,SMC02488,Urban,34.24585,-118.543435
24,River 2013,SMC02561,Open,33.129743,-116.635916
25,River 2013,SMC02567,Open,34.184717,-116.896877
26,River 2013,SMC02568,Open,34.278661,-118.220314
27,River 2013,SMC02712,Open,34.361795,-118.303487
28,River 2013,SMC02749,Urban,33.930154,-117.374356
29,River 2013,SMC02764,Open,34.447782,-118.754901
30,River 2013,SMC02796,Urban,34.083977,-118.086323
31,River 2013,SMC02804,Urban,34.145341,-118.408663
32,River 2013,SMC02888,Open,34.544013,-118.436264
33,River 2013,SMC02902,Urban,32.949075,-117.064432
34,River 2013,SMC02905,Urban,33.240931,-117.328701
35,River 2013,SMC02936,Urban,34.185903,-118.642105
36,River 2013,SMC02947,Urban,33.699192,-117.811432
37,River 2013,SMC02972,Open,34.249578,-118.075503
38,River 2013,SMC03011,Urban,33.6145,-117.695501
39,River 2013,SMC03110,Urban,32.811057,-117.073358
40,River 2013,SMC03111,Open,34.245366,-117.610538
41,River 2013,SMC03210,Open,33.003129,-116.729186
42,River 2013,SMC03216,Open,34.280921,-117.840935
43,River 2013,SMC03222,Urban,33.022094,-117.06725
44,River 2013,SMC03234,Open,33.661524,-116.627414
45,River 2013,SMC03280,Open,34.256856,-117.856527
46,River 2013,SMC03438,Open,33.937083,-117.792529
47,River 2013,SMC03452,Open,34.303549,-117.832306
48,River 2013,SMC03488,Open,34.248016,-117.626851
49,River 2013,SMC03510,Open,32.563637,-116.787345
50,River 2013,SMC03523,Urban,33.584781,-117.664379
