objectid,stationid,sampledate,trawlnumber,debristype,count,comments,latitude,longitude,stratum,Type,abandoned,Replaces,areaweight,region,type
2269,B18-10231,2018-08-08T00:00:00Z,1,Kelp Stipe/Blade,2,Rotted blades,33.30713,-117.5233,Inner Shelf,New Site,No,NA,40.43039795,North San Diego Shelf,Marine_Originated
2270,B18-10237,2018-08-01T00:00:00Z,1,Cup,1,Yogurt container,32.65979,-117.1684,Inner Shelf,New Site,No,NA,40.43039795,South San Diego Shelf,Plastic
2271,B18-10237,2018-08-01T00:00:00Z,1,Kelp Stipe/Blade,1,Blades and fragments,32.65979,-117.1684,Inner Shelf,New Site,No,NA,40.43039795,South San Diego Shelf,Marine_Originated
2272,B18-10265,2018-08-08T00:00:00Z,1,Other Foliose Algae,1,NA,33.26988,-117.565,Mid Shelf,Revisit,No,NA,67.32610042,North San Diego Shelf,Marine_Originated
2273,B18-10266,2018-08-08T00:00:00Z,1,Kelp Stipe/Blade,1,Kelp blade fragments,33.2656,-117.5334,Mid Shelf,Revisit,No,NA,67.32610042,North San Diego Shelf,Marine_Originated
2274,B18-10267,2018-08-08T00:00:00Z,1,Kelp Stipe/Blade,3,Kelp blade pieces,33.21766,-117.4805,Mid Shelf,New Site,No,NA,67.32610042,North San Diego Shelf,Marine_Originated
2275,B18-10267,2018-08-08T00:00:00Z,1,Other Foliose Algae,1,Piece of Egregia,33.21766,-117.4805,Mid Shelf,New Site,No,NA,67.32610042,North San Diego Shelf,Marine_Originated
2276,B18-10267,2018-08-08T00:00:00Z,1,Can - other,1,Can fragment,33.21766,-117.4805,Mid Shelf,New Site,No,NA,67.32610042,North San Diego Shelf,Recyclable
2277,B18-10269,2018-08-07T00:00:00Z,1,Other Plastic (comment req.),1,PVC pipe (1.2 kg),33.08783,-117.3509,Mid Shelf,Revisit,No,NA,67.32610042,North San Diego Shelf,Plastic
2278,B18-10269,2018-08-07T00:00:00Z,1,Other Metal (comment req.),1,Tea pot - aluminum (0.3 kg),33.08783,-117.3509,Mid Shelf,Revisit,No,NA,67.32610042,North San Diego Shelf,Metal
2279,B18-10277,2018-08-01T00:00:00Z,1,Kelp Stipe/Blade,1,Blades; few fragments,32.58963,-117.2643,Mid Shelf,Revisit,No,NA,67.32610042,South San Diego Shelf,Marine_Originated
2280,B18-10278,2018-08-01T00:00:00Z,1,Foliose Algae - not kelp,1,Fragments,32.55149,-117.1994,Mid Shelf,Revisit,No,NA,67.32610042,South San Diego Shelf,Marine_Originated
2281,B18-10278,2018-08-01T00:00:00Z,1,Kelp Holdfast,0,NA,32.55149,-117.1994,Mid Shelf,Revisit,No,NA,67.32610042,South San Diego Shelf,Marine_Originated
2282,B18-10278,2018-08-01T00:00:00Z,1,Kelp Stipe/Blade,1,Fragments,32.55149,-117.1994,Mid Shelf,Revisit,No,NA,67.32610042,South San Diego Shelf,Marine_Originated
2283,B18-10320,2018-09-06T00:00:00Z,1,Plastic Piece (unid.),1,Fish tag; Photo taken,32.58576,-117.3406,Outer Shelf,Revisit,No,NA,23.28776249,South San Diego Shelf,Plastic
2284,B18-10348,2018-08-09T00:00:00Z,1,Food Bag/Wrapper,1,Foil on one side balloon (photo taken),33.09386,-117.417,Upper Slope,Revisit,No,NA,125.2249344,San Diego Slope,Plastic
2285,B18-10348,2018-08-09T00:00:00Z,1,Plastic Piece (unid.),1,Electrical tape (photo taken),33.09386,-117.417,Upper Slope,Revisit,No,NA,125.2249344,San Diego Slope,Plastic
2286,B18-10349,2018-08-07T00:00:00Z,2,None,0,No problem with trawl,33.05062,-117.3895,Upper Slope,New Site,No,NA,125.2249344,San Diego Slope,None
2287,B18-10350,2018-09-05T00:00:00Z,1,Plastic Piece (unid.),1,Small,32.70487,-117.3537,Upper Slope,New Site,No,NA,125.2249344,San Diego Slope,Plastic
2288,B18-10351,2018-09-06T00:00:00Z,1,Food Bag/Wrapper,1,"Small piece (1"" x 1""); Photo taken",32.69303,-117.3948,Upper Slope,Revisit,No,NA,125.2249344,San Diego Slope,Plastic
2289,B18-10351,2018-09-06T00:00:00Z,1,Rag/Cloth,2,Cotton; Rib knit; Photo taken,32.69303,-117.3948,Upper Slope,Revisit,No,NA,125.2249344,San Diego Slope,Fabric_Cloth
2290,B18-10351,2018-09-06T00:00:00Z,1,Other Misc. (comment req.),1,49 cm; Cotton rope,32.69303,-117.3948,Upper Slope,Revisit,No,NA,125.2249344,San Diego Slope,Miscellaneous
